iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   4  3.681097e+04    1.76e-02    2.15e+02   8.27e-01   1.02e+00  8.10e+05        1    8.69e-02    5.53e-01
   5  3.681097e+04    1.96e-03    5.11e+01   3.18e-01   1.03e+00  2.43e+06        1    8.10e-02    6.34e-01
   6  3.681097e+04    6.31e-05    1.99e+00   5.88e-02   1.05e+00  7.29e+06        1    8.19e-02    7.16e-01
   7  3.681097e+04    6.87e-07    1.09e+00   5.78e-03   1.06e+00  2.19e+07        1    7.58e-02    7.92e-01
   8  3.681097e+04    5.11e-09    9.28e-02   4.29e-04   1.19e+00  6.56e+07        1    7.65e-02    8.69e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  4.329053e+04    0.00e+00    1.80e+05   0.00e+00   0.00e+00  1.00e+04        0    5.11e-02    2.38e-01
   1  4.308989e+04    2.01e+02    1.10e+03   5.29e+00   1.00e+00  3.00e+04        1    1.34e-01    3.72e-01
   2  4.307996e+04    9.93e+00    3.94e+04   8.12e+00   1.00e+00  9.00e+04        1    9.19e-02    4.64e-01
   3  4.306919e+04    1.08e+01    1.21e+05   1.31e+01   9.89e-01  2.70e+05        1    8.98e-02    5.54e-01
   4  4.306444e+04    4.75e+00    9.70e+04   1.15e+01   9.90e-01  8.10e+05        1    9.10e-02    6.45e-01
   5  4.306375e+04    6.87e-01    1.55e+04   4.51e+00   1.02e+00  2.43e+06        1    9.66e-02    7.42e-01
   6  4.306373e+04    1.88e-02    5.24e+02   7.80e-01   1.04e+00  7.29e+06        1    9.00e-02    8.32e-01
   7  4.306373e+04    1.57e-04    8.98e+00   7.48e-02   1.07e+00  2.19e+07        1    9.21e-02    9.24e-01
   8  4.306373e+04    1.06e-06    9.72e-01   5.72e-03   1.07e+00  6.56e+07        1    9.21e-02    1.02e+00
   9  4.306373e+04    6.52e-09    9.68e-02   4.25e-04   1.10e+00  1.97e+08        1    1.00e-01    1.12e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  4.310728e+04    0.00e+00    1.45e+03   0.00e+00   0.00e+00  1.00e+04        0    4.81e-02    2.17e-01
   1  4.306252e+04    4.48e+01    1.44e+02   8.76e-01   1.00e+00  3.00e+04        1    1.38e-01    3.55e-01
   2  4.306250e+04    2.40e-02    9.86e+01   2.61e-01   1.00e+00  9.00e+04        1    9.83e-02    4.54e-01
   3  4.306247e+04    2.11e-02    2.75e+02   4.36e-01   1.01e+00  2.70e+05        1    9.04e-02    5.44e-01
   4  4.306247e+04    8.97e-03    2.14e+02   4.02e-01   1.03e+00  8.10e+05        1    8.79e-02    6.32e-01
   5  4.306246e+04    1.02e-03    3.92e+01   1.60e-01   1.04e+00  2.43e+06        1    8.73e-02    7.19e-01
   6  4.306246e+04    2.85e-05    2.64e+00   2.79e-02   1.06e+00  7.29e+06        1    8.20e-02    8.01e-01
   7  4.306246e+04    2.98e-07    5.85e-01   2.68e-03   1.07e+00  2.19e+07        1    8.69e-02    8.88e-01
   8  4.306246e+04    2.15e-09    5.42e-02   2.05e-04   1.11e+00  6.56e+07        1    1.05e-01    9.94e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.087304e+04    0.00e+00    1.55e+05   0.00e+00   0.00e+00  1.00e+04        0    6.63e-02    2.27e-01
   1  5.039274e+04    4.80e+02    6.69e+03   8.49e+00   9.99e-01  3.00e+04        1    1.63e-01    3.90e-01
